System Thermodynamic Data:
index Pressure Temperature mass F phi H S V Cp dVdP*10^6 dVdT*10^6 fO2(absolute) fO2-(NNO) rhol rhos viscosity aH2O chisqr
24 1169.35 831.00 100.016124 0.8684665839259628 0.436774 -1343129.159252 349.123235 90.951010 162.926734 -43669.661438 87150.021108 -13.218 0.000 2.186545 0.256813 6.262 n/a n/a
24 556.45 852.50 100.016246 0.8555681758457213 0.235247 -1338525.493654 359.723404 164.011873 155.910637 -238784.897000 167592.295859 -12.787 0.000 2.217820 0.115169 7.199 n/a n/a
27 250.00 895.70 100.015737 0.8206427372994398 0.101695 -1331430.405582 372.188461 359.436314 150.901087 -1319489.255013 328009.518707 -11.969 0.000 2.245444 0.055557 7.746 n/a n/a
10 862.90 873.00 100.015597 0.8624869575419013 0.336420 -1335979.275094 358.261675 117.017194 159.302715 -93783.656495 113084.182188 -12.391 0.000 2.191234 0.177120 6.362 n/a n/a
18 1016.13 849.00 100.015901 0.8656017875994875 0.389682 -1340054.916422 353.202497 101.512218 161.282848 -62611.468796 98999.921204 -12.856 0.000 2.188562 0.216964 6.324 n/a n/a
14 709.68 861.00 100.015946 0.8593977163452376 0.289369 -1337586.766104 358.540628 134.779519 157.859053 -142607.234385 135573.273780 -12.621 0.000 2.203878 0.146823 6.766 n/a n/a
14 403.23 875.00 100.015979 0.8506305616916084 0.170356 -1334586.512335 365.754252 224.033554 153.459862 -480447.078995 216533.036598 -12.353 0.000 2.229157 0.080376 7.398 n/a n/a
19 1016.13 846.00 100.015959 0.8656240019267061 0.390738 -1340540.157898 352.770328 101.207540 161.373896 -62350.718965 99239.027295 -12.916 0.000 2.189273 0.217959 6.352 n/a n/a
6 1322.58 885.00 100.015025 0.8706404255005189 0.452917 -1334380.792296 355.626096 88.707091 162.017624 -35379.738095 73958.955986 -12.166 0.000 2.167342 0.266595 5.593 n/a n/a
11 862.90 870.00 100.015650 0.8625093357436150 0.337334 -1336458.535351 357.843722 116.667945 159.368647 -93454.157287 113355.500518 -12.448 0.000 2.191897 0.177867 6.389 n/a n/a
25 556.45 852.60 100.016245 0.8558848711266864 0.235320 -1338504.076776 359.742408 164.022250 155.913367 -238791.725485 167568.901128 -12.785 0.000 2.217807 0.114921 7.198 n/a n/a
25 1169.35 828.00 100.016186 0.8684867058663199 0.437919 -1343619.323840 348.679604 90.684012 163.035091 -43455.078065 87340.518159 -13.280 0.000 2.187304 0.258054 6.290 n/a n/a
15 709.68 858.00 100.016001 0.8594188421159648 0.290196 -1338061.746888 358.122071 134.360810 157.915270 -142147.547821 135911.511202 -12.680 0.000 2.204500 0.147430 6.794 n/a n/a
28 250.00 894.70 100.015749 0.8178013641582765 0.101406 -1331635.338900 372.013215 359.203445 150.856222 -1318810.597621 328235.800089 -11.987 0.000 2.245504 0.056456 7.760 n/a n/a
7 1322.58 882.00 100.015073 0.8706648762340137 0.453936 -1334868.076884 355.205487 88.479052 162.093759 -35216.699511 74083.630647 -12.222 0.000 2.168110 0.267731 5.617 n/a n/a
12 862.90 867.00 100.015703 0.8625316978268640 0.338256 -1336938.003420 357.424498 116.317930 159.436201 -93123.848592 113630.170559 -12.506 0.000 2.192561 0.178622 6.416 n/a n/a
26 556.45 852.70 100.016243 0.8559640416490941 0.235322 -1338486.986240 359.757563 164.037752 155.913123 -238811.194476 167553.209008 -12.783 0.000 2.217790 0.114847 7.197 n/a n/a
15 403.23 875.10 100.015978 0.8509425793956285 0.170408 -1334565.312868 365.772697 224.047337 153.463801 -480464.598973 216509.816450 -12.351 0.000 2.229148 0.080208 7.396 n/a n/a
8 1322.58 879.00 100.015122 0.8706891090702941 0.454962 -1335355.593783 354.783591 88.250723 162.171347 -35053.072068 74209.022827 -12.278 0.000 2.168879 0.268878 5.642 n/a n/a
29 250.00 893.70 100.015760 0.8149875268909760 0.101120 -1331839.628690 371.838370 358.969308 150.811784 -1318126.783181 328461.685301 -12.005 0.000 2.245564 0.057347 7.774 n/a n/a
20 1016.13 843.00 100.016017 0.8656460700755000 0.391803 -1341025.681263 352.336756 100.902229 161.467009 -62089.008685 99480.698427 -12.976 0.000 2.189984 0.218965 6.380 n/a n/a
13 862.90 864.00 100.015756 0.8625540397970336 0.339185 -1337417.684255 357.003992 115.967141 159.505416 -92792.713963 113908.247197 -12.563 0.000 2.193225 0.179385 6.443 n/a n/a
26 1169.35 825.00 100.016248 0.8685065070875465 0.439072 -1344109.821472 348.234471 90.416556 163.145688 -43239.505214 87532.358683 -13.342 0.000 2.188065 0.259310 6.318 n/a n/a
9 1322.58 876.00 100.015172 0.8707131142440101 0.455995 -1335843.347437 354.360398 88.022103 162.250413 -34888.845028 74335.120409 -12.334 0.000 2.169650 0.270038 5.667 n/a n/a
16 709.68 855.00 100.016057 0.8594400025973558 0.291031 -1338536.908845 357.702251 133.941113 157.973031 -141687.124017 136254.380945 -12.738 0.000 2.205122 0.148044 6.823 n/a n/a
27 556.45 852.60 100.016245 0.8558848710730567 0.235320 -1338504.076710 359.742408 164.022250 155.913367 -238791.725489 167568.901131 -12.785 0.000 2.217807 0.114921 7.198 n/a n/a
16 403.23 875.20 100.015977 0.8512548546840362 0.170461 -1334544.107247 365.791146 224.061109 153.467745 -480482.093910 216486.595536 -12.349 0.000 2.229139 0.080040 7.395 n/a n/a
14 862.90 861.00 100.015810 0.8625763575103478 0.340122 -1337897.582930 356.582193 115.615569 159.576334 -92460.736455 114189.786328 -12.621 0.000 2.193890 0.180157 6.471 n/a n/a
27 1169.35 822.00 100.016311 0.8685259743881411 0.440233 -1344600.659100 347.787822 90.148642 163.258570 -43022.920597 87725.522140 -13.404 0.000 2.188828 0.260582 6.346 n/a n/a
30 250.00 892.70 100.015771 0.8122010957115983 0.100838 -1332043.280452 371.663924 358.733908 150.767768 -1317437.843491 328687.181069 -12.024 0.000 2.245626 0.058231 7.788 n/a n/a
21 1016.13 840.00 100.016075 0.8656679839148189 0.392877 -1341511.492843 351.901770 100.596279 161.562236 -61826.316875 99724.959894 -13.036 0.000 2.190697 0.219984 6.407 n/a n/a
10 1322.58 873.00 100.015222 0.8707368816979725 0.457034 -1336331.342361 353.935897 87.793192 162.330984 -34724.007364 74461.910050 -12.391 0.000 2.170422 0.271211 5.692 n/a n/a
28 556.45 853.00 100.016237 0.8559621238203873 0.235253 -1338440.077263 359.799140 164.089416 155.909397 -238882.342033 167513.926271 -12.777 0.000 2.217732 0.114802 7.194 n/a n/a
31 250.00 891.70 100.015782 0.8094419270970004 0.100559 -1332246.299737 371.489871 358.497253 150.724174 -1316743.812620 328912.294680 -12.042 0.000 2.245688 0.059107 7.802 n/a n/a
11 1322.58 870.00 100.015273 0.8707604010781907 0.458079 -1336819.583168 353.510078 87.563991 162.413086 -34558.547751 74589.377110 -12.448 0.000 2.171196 0.272396 5.717 n/a n/a
22 1016.13 837.00 100.016135 0.8656897350407483 0.393960 -1341997.599092 351.465355 100.289687 161.659626 -61562.621763 99971.836484 -13.096 0.000 2.191411 0.221015 6.435 n/a n/a
17 709.68 852.00 100.016114 0.8594611953929671 0.291873 -1339012.256740 357.281160 133.520416 158.032376 -141225.948316 136601.971889 -12.797 0.000 2.205744 0.148664 6.851 n/a n/a
17 403.23 875.30 100.015975 0.8515673872501456 0.170514 -1334522.895422 365.809598 224.074872 153.471694 -480499.563832 216463.373865 -12.348 0.000 2.229129 0.079872 7.394 n/a n/a
28 1169.35 819.00 100.016374 0.8685450941621162 0.441404 -1345091.843803 347.339642 89.880268 163.373782 -42805.301220 87919.985353 -13.467 0.000 2.189593 0.261870 6.375 n/a n/a
29 556.45 852.70 100.016243 0.8559640416349915 0.235322 -1338486.986122 359.757563 164.037752 155.913123 -238811.194479 167553.209010 -12.783 0.000 2.217790 0.114847 7.197 n/a n/a
15 862.90 858.00 100.015865 0.8625986466727338 0.341067 -1338377.704681 356.159089 115.263206 159.648998 -92127.898614 114474.844868 -12.680 0.000 2.194556 0.180937 6.498 n/a n/a
32 250.00 890.70 100.015794 0.8067098650578153 0.100283 -1332448.692301 371.316208 358.259351 150.680996 -1316044.726661 329137.033929 -12.060 0.000 2.245751 0.059976 7.816 n/a n/a
23 1016.13 834.00 100.016195 0.8657113147740422 0.395052 -1342484.006660 351.027499 99.982445 161.759231 -61297.900853 100221.352392 -13.157 0.000 2.192126 0.222059 6.463 n/a n/a
18 709.68 849.00 100.016171 0.8594824179978851 0.292722 -1339487.795437 356.858784 133.098706 158.093345 -140764.005631 136954.375151 -12.856 0.000 2.206367 0.149292 6.880 n/a n/a
12 1322.58 867.00 100.015324 0.8707836617226253 0.459131 -1337308.074552 353.082930 87.334500 162.496745 -34392.454564 74717.505573 -12.506 0.000 2.171971 0.273594 5.742 n/a n/a
29 1169.35 816.00 100.016439 0.8685638523901690 0.442583 -1345583.382823 346.889917 89.611432 163.491369 -42586.623353 88115.722325 -13.529 0.000 2.190359 0.263174 6.403 n/a n/a
30 556.45 852.70 100.016243 0.8559640417335383 0.235322 -1338486.986948 359.757563 164.037752 155.913123 -238811.194456 167553.208996 -12.783 0.000 2.217790 0.114847 7.197 n/a n/a
24 1016.13 831.00 100.016256 0.8657327141432363 0.396153 -1342970.722317 350.588188 99.674548 161.861104 -61032.130898 100473.531139 -13.218 0.000 2.192842 0.223115 6.492 n/a n/a
16 862.90 855.00 100.015921 0.8626209028255480 0.342021 -1338858.054828 355.734670 114.910043 159.723450 -91794.182446 114763.480765 -12.738 0.000 2.195222 0.181727 6.526 n/a n/a
13 1322.58 864.00 100.015376 0.8708066526560010 0.460190 -1337796.821306 352.654441 87.104717 162.581990 -34225.715862 74846.277970 -12.563 0.000 2.172748 0.274805 5.767 n/a n/a
19 709.68 846.00 100.016230 0.8595036678025217 0.293579 -1339963.529957 356.435113 132.675971 158.155983 -140301.280424 137311.684154 -12.916 0.000 2.206990 0.149927 6.909 n/a n/a
30 1169.35 813.00 100.016504 0.8685822346244546 0.443771 -1346075.283527 346.438631 89.342135 163.611378 -42366.862509 88312.704041 -13.593 0.000 2.191127 0.264494 6.432 n/a n/a
18 403.23 875.40 100.015974 0.8518801768603679 0.170567 -1334501.677428 365.828055 224.088625 153.475647 -480517.008751 216440.151442 -12.346 0.000 2.229120 0.079704 7.392 n/a n/a
33 250.00 889.70 100.015805 0.8040047421678806 0.100011 -1332650.464024 371.142931 358.020209 150.638233 -1315340.623562 329361.407083 -12.079 0.000 2.245814 0.060837 7.830 n/a n/a
14 1322.58 861.00 100.015429 0.8708293625779110 0.461256 -1338285.828302 352.224601 86.874645 162.668846 -34058.319384 74975.675288 -12.621 0.000 2.173526 0.276029 5.793 n/a n/a
17 862.90 852.00 100.015977 0.8626431213453316 0.342983 -1339338.638829 355.308923 114.556071 159.799736 -91459.569402 115055.753000 -12.797 0.000 2.195889 0.182526 6.554 n/a n/a
25 1016.13 828.00 100.016318 0.8657539238823722 0.397263 -1343457.753026 350.147406 99.365991 161.965297 -60765.287867 100728.395472 -13.280 0.000 2.193559 0.224185 6.520 n/a n/a
20 709.68 843.00 100.016289 0.8595249420802837 0.294444 -1340439.465425 356.010136 132.252197 158.220333 -139837.756691 137673.994692 -12.976 0.000 2.207614 0.150569 6.939 n/a n/a
31 1169.35 810.00 100.016570 0.8686002259812172 0.444968 -1346567.553453 345.985768 89.072374 163.733855 -42145.993415 88510.898265 -13.656 0.000 2.191896 0.265831 6.461 n/a n/a
31 556.45 851.70 100.016258 0.8530433032221684 0.234661 -1338696.624972 359.571489 163.928563 155.889001 -238729.713880 167779.499355 -12.803 0.000 2.217922 0.117152 7.210 n/a n/a
15 1322.58 858.00 100.015483 0.8708517798560288 0.462329 -1338775.100510 351.793397 86.644282 162.757343 -33890.252538 75105.676884 -12.680 0.000 2.174306 0.277267 5.819 n/a n/a
18 862.90 849.00 100.016034 0.8626652974435327 0.343953 -1339819.462324 354.881836 114.201281 159.877902 -91124.040347 115351.721601 -12.856 0.000 2.196556 0.183334 6.582 n/a n/a
21 709.68 840.00 100.016348 0.8595462379886094 0.295317 -1340915.607108 355.583841 131.827371 158.286441 -139373.417934 138041.405005 -13.036 0.000 2.208237 0.151219 6.968 n/a n/a
26 1016.13 825.00 100.016380 0.8657749344150895 0.398383 -1343945.105888 349.705141 99.056769 162.071865 -60497.346909 100985.967264 -13.342 0.000 2.194278 0.225268 6.549 n/a n/a
34 250.00 888.70 100.015817 0.8013263806051053 0.099742 -1332851.620946 370.970034 357.779837 150.595880 -1314631.542934 329585.422844 -12.097 0.000 2.245878 0.061692 7.844 n/a n/a
16 1322.58 855.00 100.015537 0.8708738925149728 0.463408 -1339264.642978 351.360819 86.413630 162.847507 -33721.502393 75236.260388 -12.738 0.000 2.175088 0.278519 5.844 n/a n/a
22 709.68 837.00 100.016409 0.8595675525641091 0.296198 -1341391.960421 355.156216 131.401480 158.354354 -138908.247147 138414.015845 -13.096 0.000 2.208861 0.151876 6.998 n/a n/a
27 1016.13 822.00 100.016444 0.8657957358542294 0.399512 -1344432.788221 349.261377 98.746875 162.180866 -60228.282316 101246.267401 -13.404 0.000 2.194997 0.226365 6.577 n/a n/a
32 1169.35 807.00 100.016637 0.8686178111281530 0.446174 -1347060.200304 345.531314 88.802149 163.858847 -41923.989990 88710.269319 -13.720 0.000 2.192668 0.267185 6.490 n/a n/a
19 403.23 875.50 100.015973 0.8519397878582285 0.170564 -1334485.170282 365.842403 224.109209 153.476244 -480555.972577 216425.545742 -12.344 0.000 2.229104 0.079665 7.391 n/a n/a
35 250.00 887.70 100.015828 0.7986745930522570 0.099476 -1333052.169202 370.797514 357.538242 150.553936 -1313917.525899 329809.090310 -12.116 0.000 2.245943 0.062539 7.858 n/a n/a
32 556.45 850.70 100.016272 0.8499091564782124 0.233935 -1338910.026585 359.381900 163.823692 155.862472 -238659.336381 168013.612285 -12.823 0.000 2.218050 0.119614 7.223 n/a n/a
19 862.90 846.00 100.016092 0.8626874261493924 0.344931 -1340300.531049 354.453398 113.845664 159.957997 -90787.575541 115651.447642 -12.916 0.000 2.197224 0.184152 6.610 n/a n/a
28 1016.13 819.00 100.016508 0.8658163179820730 0.400650 -1344920.807493 348.816099 98.436304 162.292356 -59958.067491 101509.315660 -13.467 0.000 2.195718 0.227476 6.606 n/a n/a
20 403.23 875.40 100.015974 0.8518801767766000 0.170567 -1334501.677332 365.828055 224.088625 153.475647 -480517.008762 216440.151446 -12.346 0.000 2.229120 0.079704 7.392 n/a n/a
17 1322.58 852.00 100.015592 0.8708956882305214 0.464495 -1339754.460863 350.926854 86.182688 162.939367 -33552.055667 75367.401606 -12.797 0.000 2.175871 0.279785 5.871 n/a n/a
33 556.45 849.70 100.016286 0.8467997260083123 0.233216 -1339122.857095 359.192651 163.717999 155.836520 -238587.389071 168247.837521 -12.842 0.000 2.218179 0.122056 7.237 n/a n/a
33 1169.35 804.00 100.016705 0.8686349742671843 0.447390 -1347553.231911 345.075252 88.531460 163.986402 -41700.825316 88910.777850 -13.784 0.000 2.193442 0.268557 6.520 n/a n/a
29 1016.13 816.00 100.016573 0.8658366702438814 0.401799 -1345409.171345 348.369293 98.125051 162.406395 -59686.674905 101775.130581 -13.529 0.000 2.196440 0.228601 6.636 n/a n/a
23 709.68 834.00 100.016469 0.8592070168698859 0.296941 -1341875.388262 354.721047 130.981294 158.419740 -138456.301290 138803.948271 -13.157 0.000 2.209480 0.152915 7.028 n/a n/a
20 862.90 843.00 100.016150 0.8627095023102719 0.345918 -1340781.850892 354.023595 113.489211 160.040068 -90450.154606 115954.993246 -12.976 0.000 2.197893 0.184980 6.638 n/a n/a
18 1322.58 849.00 100.015647 0.8709171543180733 0.465588 -1340244.559416 350.491492 85.951458 163.032951 -33381.898724 75499.074413 -12.856 0.000 2.176656 0.281065 5.897 n/a n/a
36 250.00 886.70 100.015840 0.7960491836030990 0.099213 -1333252.114997 370.625365 357.295434 150.512396 -1313198.614931 330032.418946 -12.134 0.000 2.246008 0.063379 7.872 n/a n/a
21 403.23 875.80 100.015967 0.8519382656625327 0.170517 -1334439.005599 365.882513 224.175819 153.475646 -480688.193942 216387.896038 -12.338 0.000 2.229052 0.079637 7.388 n/a n/a
34 1169.35 801.00 100.016774 0.8686516991323309 0.448615 -1348046.656321 344.617565 88.260305 164.116567 -41476.471609 89112.380589 -13.849 0.000 2.194217 0.269946 6.549 n/a n/a
21 862.90 840.00 100.016209 0.8627315205865544 0.346914 -1341263.427908 353.592415 113.131912 160.124167 -90111.756505 116262.421590 -13.036 0.000 2.198563 0.185817 6.667 n/a n/a
34 556.45 848.70 100.016301 0.8437153297422628 0.232504 -1339335.114493 359.003745 163.611480 155.811145 -238513.857234 168482.167462 -12.862 0.000 2.218309 0.124479 7.250 n/a n/a
30 1016.13 813.00 100.016639 0.8658567817384251 0.402957 -1345897.887620 347.920943 97.813109 162.523044 -59414.076059 102043.729322 -13.593 0.000 2.197164 0.229741 6.665 n/a n/a
37 250.00 885.70 100.015852 0.7934499486451136 0.098954 -1333451.464671 370.453584 357.051422 150.471257 -1312474.853697 330255.418548 -12.153 0.000 2.246073 0.064212 7.886 n/a n/a
19 1322.58 846.00 100.015704 0.8709382777203987 0.466688 -1340734.943961 350.054718 85.719940 163.128286 -33211.017558 75631.250648 -12.916 0.000 2.177443 0.282360 5.923 n/a n/a
35 1169.35 798.00 100.016843 0.8686679689626943 0.449849 -1348540.481683 344.158238 87.988685 164.249391 -41250.900200 89315.030085 -13.914 0.000 2.194995 0.271353 6.579 n/a n/a
22 403.23 875.50 100.015973 0.8519397878466148 0.170564 -1334485.170185 365.842403 224.109209 153.476244 -480555.972582 216425.545744 -12.344 0.000 2.229104 0.079665 7.391 n/a n/a
24 709.68 835.00 100.016450 0.8595817711217074 0.296790 -1341709.649526 354.870387 131.116954 158.400655 -138597.662412 138665.363180 -13.137 0.000 2.209277 0.152318 7.017 n/a n/a
22 862.90 837.00 100.016269 0.8627534754434911 0.347919 -1341745.268310 353.159846 112.773758 160.210345 -89772.359506 116573.796901 -13.096 0.000 2.199233 0.186665 6.696 n/a n/a
23 862.90 834.00 100.016330 0.8627753611431258 0.348933 -1342227.378465 352.725874 112.414739 160.298656 -89431.941152 116889.184450 -13.157 0.000 2.199904 0.187523 6.724 n/a n/a
23 403.23 875.50 100.015973 0.8519397879371262 0.170564 -1334485.170943 365.842403 224.109209 153.476244 -480555.972546 216425.545729 -12.344 0.000 2.229104 0.079665 7.391 n/a n/a
36 1169.35 795.00 100.016913 0.8683509637543874 0.450901 -1349040.622944 343.691718 87.720229 164.382514 -41029.243336 89527.870722 -13.979 0.000 2.195774 0.273364 6.609 n/a n/a
35 556.45 847.70 100.016315 0.8406562461923888 0.231800 -1339546.797422 358.815184 163.504128 155.786350 -238438.728323 168716.595789 -12.882 0.000 2.218441 0.126883 7.264 n/a n/a
38 250.00 884.70 100.015864 0.7908766775477247 0.098698 -1333650.224542 370.282164 356.806216 150.430516 -1311746.286946 330478.099219 -12.171 0.000 2.246140 0.065038 7.899 n/a n/a
24 862.90 831.00 100.016392 0.8627971717370063 0.349956 -1342709.764891 352.290486 112.054845 160.389156 -89090.478233 117208.650550 -13.218 0.000 2.200575 0.188391 6.753 n/a n/a
39 250.00 883.70 100.015876 0.7883291535355291 0.098445 -1333848.401085 370.111101 356.559824 150.390170 -1311012.960344 330700.471332 -12.190 0.000 2.246206 0.065858 7.913 n/a n/a
20 1322.58 843.00 100.015761 0.8709590450064900 0.467796 -1341225.619960 349.616522 85.488134 163.225403 -33039.397789 75763.899993 -12.976 0.000 2.178232 0.283669 5.950 n/a n/a
31 1016.13 810.00 100.016705 0.8658766412070230 0.404125 -1346386.964356 347.471032 97.500474 162.642363 -59140.241436 102315.127510 -13.656 0.000 2.197889 0.230895 6.694 n/a n/a
25 709.68 834.00 100.016469 0.8592070167665469 0.296941 -1341875.388140 354.721047 130.981294 158.419740 -138456.301296 138803.948276 -13.157 0.000 2.209480 0.152915 7.028 n/a n/a
36 556.45 846.70 100.016330 0.8376227164183201 0.231102 -1339757.905219 358.626969 163.395941 155.762136 -238361.991847 168951.117410 -12.902 0.000 2.218573 0.129267 7.278 n/a n/a
24 403.23 874.50 100.015985 0.8490743452529683 0.170093 -1334692.416851 365.662084 223.964494 153.440242 -480359.102971 216649.125637 -12.363 0.000 2.229203 0.081213 7.405 n/a n/a
37 1169.35 796.00 100.016890 0.8686785542084710 0.450677 -1348869.925378 343.851101 87.807346 164.339441 -41099.828186 89450.685843 -13.958 0.000 2.195514 0.272302 6.599 n/a n/a
25 862.90 828.00 100.016454 0.8628189010631951 0.350988 -1343192.434305 351.853667 111.694067 160.481902 -88747.946743 117532.262541 -13.280 0.000 2.201248 0.189270 6.782 n/a n/a
21 1322.58 840.00 100.015818 0.8709794423511619 0.468910 -1341716.592948 349.176890 85.256043 163.324329 -32867.024653 75896.989858 -13.036 0.000 2.179022 0.284993 5.976 n/a n/a
26 709.68 834.10 100.016468 0.8595292821724063 0.297035 -1341853.699146 354.740613 130.989806 158.421088 -138459.945335 138781.099850 -13.155 0.000 2.209464 0.152576 7.026 n/a n/a
25 403.23 873.50 100.015998 0.8459813659950568 0.169571 -1334903.760494 365.478032 223.825633 153.401375 -480181.264044 216881.242952 -12.382 0.000 2.229296 0.082876 7.418 n/a n/a
32 1016.13 807.00 100.016773 0.8658962370194503 0.405304 -1346876.409771 347.019546 97.187140 162.764417 -58865.140462 102589.339072 -13.720 0.000 2.198615 0.232065 6.724 n/a n/a
